Authors;Year;Country;Sample Size;Age/Grade;Special Characteristics;Study Design;Intervention;Control/Comparison;Setting;Cognitive Instruments;Affective Instruments;Other Instruments;Quantitative Methods;Qualitative Methods;Mixed Methods;General Results;Effect Sizes;Reported Limitations;Efectividad Cognitiva: Desarrollo de Habilidades Matemáticas;Efectividad Cognitiva: Resolución de Problemas y Pensamiento Computacional;Impacto Afectivo: Motivación y Compromiso;Impacto Afectivo: Reducción de Ansiedad y Respuestas Emocionales;Herramientas Digitales: Tipos de Herramientas Interactivas;Herramientas Digitales: Eficacia de Herramientas;Factores Contextuales: Capacitación y Diseño Instruccional;Factores Contextuales: Factores Socioeconómicos y Personales;Additional Notes
Norbert Annuš, Tibor Kmeť;2024;Slovakia;164 (questionnaire sample), 327 total users;Ages 11–15, Grades 5–9;Mixed public and church schools in three Slovak regions;Mixed methods: quantitative surveys + qualitative interviews + control group comparison;Learn with M.E. software used to personalize basic math instruction;Traditional teaching without the software;In-class, across 7 elementary schools;"No standardized cognitive tests used; task accuracy logged in digital workbook";Likert-scale questionnaire on user motivation and experience;Student workbook logs, task performance database, teacher interviews;Descriptive statistics, frequency analysis, SPSS, user performance logs;Structured interviews, thematic content grouping, SWOT analysis;Convergent mixed-methods with control group comparison;"Increased motivation and improved perceived understanding of math; personalized learning paths noted";"No explicit effect size reported; software accuracy in error detection: 92%";"Absence of standardized testing; no longitudinal tracking; some interface limitations";Improved calculation skills and understanding of operations, supported by adaptive task generation;Software helped identify and correct errors, aiding problem-solving practice;Trophies, gamification, and error feedback boosted student interest (82.3% enjoyed math more);No data on anxiety, but students found software “motivating” and “fun”;Desktop app with personalized feedback, error recognition, trophy system, multilingual support;"Perceived as effective by students and teachers; high engagement reported";"Teacher training on interpretation of task logs; instructional support features like solution steps";Noted SES disparities in access/use preferences (e.g., Slovak vs. Hungarian vs. English language);Suggests personalized digital tools with real-time feedback can support inclusive and adaptive math education.
Lida Asencios-Trujillo, Lucia Asencios-Trujillo, Carlos La-Rosa-Longobardi, Djamila Gallegos-Espinoza;2024;Peru;Not explicitly stated for the main study, but survey involved 22 respondents (implied from percentages in Figs 13-21);"9 to 11 years old; Survey respondents aged 5-9 mostly";"Children with difficulties in math/reading; Initial evaluation identified students with phonological/verbal memory issues for reading";"Agile Scrum methodology used for development; Evaluation involved surveys and standardized tests comparing software users to traditional methods";Educational software with interactive games (Memorama, Sum game) and didactic exercises for basic math and reading comprehension ;Traditional teaching methods ;Primary education context in Peru ;Standardized tests (details not specified), Entrance tests (phonological knowledge, verbal memory for reading) ;Survey form;N/A;Surveys analyzed using percentages;N/A;N/A;"Notable improvement in performance for software users vs. traditional methods; Increased motivation and class participation observed";Not explicitly stated by authors, potential limitations mentioned in discussion include narrow age range initially targeted (6-8 planned, 9-11 studied) and lack of implemented inclusive learning methods ;"Software improved basic math skills (e.g., addition via Sum Game); Enhanced understanding through diverse resources and interactive exercises ";Software designed to enhance problem-solving through interactive methods ;"Software aims to inspire students and increase motivation/participation through interactive games and didactic exercises; Survey showed positive reception of games (Memorama rated good/excellent by ~91%)";"Software designed to address disinterest and distraction; Aims to make learning enjoyable";"Interactive educational software (web system) developed using Visual Studio Code, HTML5, CSS3, JavaScript, SQL Server; Includes login, course access, Memorama (memory game), Sum game (addition) ";"Software users showed notable improvement compared to traditional methods; Positive user feedback on usability (login rated good/excellent by ~91%)";"Software development involved educators; Principles included differentiated instruction and continuous assessment/feedback; Teachers can assign personalized exercises";"Survey data suggests mothers and siblings are primary helpers at home; Significant connectivity issues hindered remote learning programs like ""Aprendo en Casa"" during pandemic; Computer most used device (54.5%), followed by cell phone (27.3%)";"Project currently targets 9-11 years (study) but aims to expand; Inclusive learning methods not yet implemented; More mini-games planned";
Luca Cerniglia, Silvia Cimino, Massimo Ammaniti;2021;Italy;356;Ages 4–8;Children exceeding AAP screen time recommendations, no major developmental disorders;Longitudinal, 3-wave observational study;Daily use of smartphones and tablets for educational apps and short videos, assessed at age 4;No control group (all participants exceeded AAP limits);Home (T0), school settings for teacher assessments (T1, T2);Teacher Report Form (TRF) Mathematics and Literacy T-scores;Dysregulation Profile from TRF (Anxious/Depressed, Attention Problems, Aggression);StimQ-PIDA for parental scaffolding, SCL-90/R for maternal risk;Pearson correlation, MANOVA, Structural Equation Modeling (SEM);Content-based group comparisons, no thematic coding reported;Integrated model, longitudinal SEM design;"Higher screen time at age 4 predicted dysregulation at ages 6 and 8; lower academic performance at age 8 only, mediated by dysregulation";"Standardized regression weights β = -0.34 to -0.57 for key paths; effect size η² = 0.34 (math at T2)";"No control group; maternal scaffolding not tracked over time; no direct cognitive testing";Mathematics grades at age 8 were significantly lower in non-scaffolded group (M = 21.3 vs 28.1);No direct mention of computational thinking or structured problem-solving intervention;Children with higher parental scaffolding showed significantly better engagement and emotional regulation at age 6;"Dysregulation at age 8 predicted by earlier screen time; indirectly linked to anxiety, withdrawal, attention issues";Tablets and smartphones used for passive video watching and educational apps;"Tools less effective long-term without parental scaffolding; academic decline observed by age 8";"Scaffolding measured with PIDA subscale; higher PIDA scores correlated with better academic outcomes";Lower-income families and mothers with less education showed higher screen time exposure in children;"Findings support that dysregulation mediates academic decline due to early excessive screen time; parental engagement delays but does not prevent cognitive/emotional impact"
Chen, I.H., Gamble, J.H., Lee, Z.H., Fu, Q.L.;2020;China;178 second-grade students;Age ~7-8, Grade 2;Urban school, prior digital media experience;Longitudinal, quasi-experimental;Interactive whiteboard (EasiCare) FA system, 1 year;N/A;Urban primary school classroom;Mathematics achievement tests;Goal orientation measures (mastery-avoidance, performance-avoidance);N/A;Hierarchical linear modeling (HLM);N/A;N/A;"Significant correlation between IWB FA activities and math achievement; girls outperformed boys in FA over time; mastery-avoidance linked to better initial performance but greater decline";N/A;Limited to gender and goal orientation, lack of raw data, homogeneous population, no teacher behavior analysis;Significant correlation between IWB FA performance and math achievement (t=6.52, p=0.00);Not specifically measured;Not directly measured, but IWB activities increased participation;N/A;EasiCare IWB system with group competitions, FA quizzes, feedback interface;IWB FA system effective for math achievement, no direct comparison to traditional methods;Teacher training on EasiCare system ensured effective implementation;Homogeneous population, prior digital media experience noted;Study recommends longitudinal and mixed-methods approaches for future research
Carmen David, Cristina Costescu, Adrian Roșan;2025;Romania;33 (26 digital, 7 classic);Ages 8–15, Grades 2–8;Children with mild/moderate intellectual disabilities, some with ASD;Quasi-experimental;Digital multicomponent math intervention using apps, VRA framework, and strategy learning;Classic multicomponent math intervention using CSA and strategy learning;Special schools;Researcher-designed numeracy and procedural computation test;Teacher-rated cognitive engagement scale (Van Nieuwenhoven et al., 2019);Fluency tasks (addition, subtraction, multiplication);"Paired t-tests, Cohen’s d for digital group; Wilcoxon test for classic group";No qualitative methods used;N/A;"Digital intervention improved numeracy, computation, and problem-solving; no effect on engagement";Moderate to strong effects (e.g., d=0.92 for multiplication, d=1 for problem solving);Small sample, lack of control group, no standardized math tests, limited content scope;Significant gains in fluency (addition, subtraction, multiplication) and numeracy from digital intervention;Problem-solving skills improved with strong effect sizes using digital intervention;No observed improvement in engagement for either group;No anxiety or emotional impact outcomes were reported;Used digital apps including Touch Counts, Marbotic, Mathigon, and virtual manipulatives;Digital tools more effective than classic ones for most math outcomes (e.g., higher effect sizes);Initial teacher training and implementation journals supported fidelity;"No detailed SES analysis; heterogeneity in ability and comorbidities noted";"No control group; emphasis on VRA framework effectiveness; suggests potential of AI in special education"
Fernando Fraga-Varela, Esther Vila-Couñago, Esther Martínez-Piñeiro;2021;Spain;284 students;Grades 1–4 (Ages approx. 6–10);Primary school students from one publicly funded private school;Quasi-experimental, pretest-posttest, no control group;Reflex Math serious game with optional gamification strategy;"No control group; all groups used the game, some with gamification";School classrooms;Basic Math Operations Task (BMOT);N/A;System activity logs, pre/post scores, academic records;Wilcoxon test, Mann-Whitney U, Spearman correlation, SPSS;No qualitative methods used;N/A;"Significant gains in math fluency across all grades; stronger in gamified classrooms";"r=0.60 overall; r=0.62 (1st), r=0.61 (2nd), r=0.53 (3rd), r=0.61 (4th)";"Single school sample limits generalizability; no randomization; unclear teacher appropriation reasons";Large and significant improvement in fluency (sum, subtraction, multiplication, division) using Reflex Math;"Gamified use enhanced performance; correlation between activities and test score gains";Gamification increased engagement and frequency of tool use;Not measured explicitly;Reflex Math serious game with reward system, avatars, and virtual coaching;Effective in enhancing fluency and linked to academic performance;Gamified implementation and teacher experience influenced outcomes positively;"Urban school; all participants from same school, limiting socioeconomic diversity";Study reinforces motivational and cognitive benefits of game-based learning in authentic settings.
Andrea Guariso, Martina Björkman Nyqvist;2023;India;~5000 students from 200 schools;Grades 2–7, Ages 6–12;"Primary school children in rural Assam; low access to technology";"Longitudinal panel with cross-sectional comparison; quasi-experimental";"No specific digital intervention; natural experiment of school closure during COVID";Pre-pandemic comparison (grades/schools), no explicit control group;In-class and at-home testing across multiple years;Standardized mathematics test (ASER, IRT-modeled);Child and Adolescent Social and Personal Assessment of Wellbeing (CAPSAW);"Household and parent surveys; study logs; technology access data";Regression models, IRT score normalization, fixed effects, clustered SE;N/A;N/A;"COVID caused 9 months learning loss in math and 11 in language; tech access mitigated loss";"Mathematics: –0.30σ; Language: –0.39σ compared to pre-pandemic cohorts";"No standard tests; non-random attrition in phone survey; uneven tech access";"Math learning declined 0.30σ—equivalent to 9 months of education lost; especially in low-SES students";Problem-solving not directly measured, but regular math practice and tech access reduced learning loss;Psychological wellbeing significantly improved across both personal and school domains;"Not measured; no anxiety scale used; only positive CAPSAW wellbeing change reported";Smartphone, internet, WhatsApp, radio/TV, educational materials, parental coaching;Tech and tuition mitigated loss: phone calls (+0.096σ math), internet (+0.122σ), tuition (+0.102σ language);"Weekly learning, teacher interaction, tech use showed positive gains; teacher contact critical";Children from low-education households and with younger siblings suffered greater losses;"Comprehensive five-year dataset; highlights regressive impact of crisis and resilience of wellbeing."
Heiller Gutiérrez Zuluaga, Jorge Hernán Aristizábal Zapata, Julián Andrés Rincón Penagos;2020;Colombia;115 students;Grades 3 and 5;Students from public primary schools in Quindío using tangible and digital tools;"Qualitative interpretative methodology; quasi-experimental action research";ICT-mediated visualization activities using programs: Sokoban, El Reloj, Máquinas, Ángulos, Relaciones Lógicas;Activities with and without educational software (tangible materials vs. digital);Three public schools in rural and urban areas;None (no standardized cognitive assessment);N/A;Observations, student activity analysis, interviews with teachers;Narrative interpretation based on categorized visual tasks, no statistical inference;N/A;N/A;Visualization processes enhanced students’ problem-solving strategies and engagement;N/A;"Limited to descriptive outcomes; no pre/post metrics; absence of control group";Visualization supported math understanding of angles, time, transformations, and geometrical representation;Strong emphasis on visualization during problem solving using tools like Sokoban and Ángulos;Students actively participated, showed high interest, and developed representational strategies;N/A;Educational software for visualization: Sokoban, Ángulos, Máquinas, El Reloj, Relaciones Lógicas;Software enabled deeper visual understanding of mathematical problems;"Teacher formation and classroom integration planned during design; TPACK framework mentioned";"Most students from rural or mixed contexts; access and tech exposure not equally distributed";"Highlights the pedagogical power of visualization via ICT; suggests improved engagement and metacognitive strategy use."
Bertoletti, A., Cannistrà, M., Soncin, M., & Agasisti, T.;2023;Italy;"31,550 (17,159 grade 5; 14,391 grade 8)";Grade 5 and 8 students (ages approximately 10–14);"National sample; includes foreign students and those with varying socioeconomic status";Quasi-experimental design with matched control group and multilevel regression;"School closures due to COVID-19; remote learning practices and digital teaching variables analyzed";Pre-COVID cohort from 2018–19 as control group;National representative school setting;INVALSI standardized tests in Math, Reading, and English;"Not measured directly; affective factors discussed conceptually but not instrumented";N/A;"Multilevel regression; Propensity score matching";"Qualitative component via teacher survey; indirect";Mixed methods in two phases using linked datasets;"COVID-19 caused significant learning loss, especially in English (Grade 5) and Math/Reading (Grade 8); variation driven by digital practices and leadership";"English reading G5: −0.275 SD; Math G8: −0.163 SD; Reading G8: −0.085 SD";Survey response bias, limited generalizability for second-stage model;"English learning loss of −0.275 SD in Grade 5; math −0.052 SD in G5, −0.163 SD in G8, reading −0.085 SD in G8";"Moderate improvements for foreign students; quick start and guidance mitigated loss in some cases";"Greater loss linked to limited use of digital tools; engagement inferred via use of materials";Conceptual discussion of emotional impact, no direct measurement;Synchronous videos, asynchronous apps and texts, attendance-based and homework assessments;"Apps/tools were variably effective; better outcomes when used consistently with guidance and early start";Positive correlation between school leadership support, early digital teaching start, and lower learning loss;Foreign background and low SES linked to larger losses, but some foreign students improved in English;"Detailed analysis linking test scores with remote teaching surveys; notable digital heterogeneity across schools"
Hershkovitz, A., Tabach, M., & Cohen, A.;2022;Israel;239 schools (school-level data, ~8% national coverage);Grade 5 students (10–11 years old);"Nationwide voluntary sample; includes variation in SES and sector";Correlational, large-scale quantitative study using learning analytics;Online math game-based environment used during the National Mathematics Olympiad;Non-user schools (or lower activity schools);Elementary schools across Israel;Meitzav national standardized math test;"Not directly measured; affective factors inferred from design and participation";System log files from digital platform (stars, usage);T-tests, regression models with SES control, effect size analysis;N/A;Learning analytics using digital trace data + statistical modeling;"Positive association between Olympiad activity and math scores; higher activity → better scores; persists after controlling for SES";d = 0.27 for math score differences between high and low Olympiad activity schools;"Single country and platform; correlational design; lack of detailed usage model at classroom level";Improved scores linked to persistent practice and exposure to multiple math subtopics;Higher-order tasks like ratios and problem solving were supported via applets and test transfer;Gamified elements and competition boosted student engagement and external motivation;Motivational and emotional engagement enhanced through competition context and visual rewards;Game-based applets with drag-and-drop, interactive tasks, adaptive stars system;"Effective when used intensively during Olympiad; higher math gains than low-use schools";Platform allowed various implementation models but no standardization reported;"Lower SES schools showed lower average scores; socioeconomic index negatively associated with outcomes";Strong positive link between concentrated online math activity and national test performance
