Authors;Year;Country;Sample Size;Age/Grade;Special Characteristics;Study Design;Intervention;Control/Comparison;Setting;Cognitive Instruments;Affective Instruments;Other Instruments;Quantitative Methods;Qualitative Methods;Mixed Methods;General Results;Effect Sizes;Reported Limitations;Efectividad Cognitiva: Desarrollo de Habilidades Matemáticas;Efectividad Cognitiva: Resolución de Problemas y Pensamiento Computacional;Impacto Afectivo: Motivación y Compromiso;Impacto Afectivo: Reducción de Ansiedad y Respuestas Emocionales;Herramientas Digitales: Tipos de Herramientas Interactivas;Herramientas Digitales: Eficacia de Herramientas;Factores Contextuales: Capacitación y Diseño Instruccional;Factores Contextuales: Factores Socioeconómicos y Personales;Additional Notes
Norbert Annuš, Tibor Kmeť;2024;Slovakia;164 (questionnaire sample), 327 total users;Ages 11–15, Grades 5–9;Mixed public and church schools in three Slovak regions;Mixed methods: quantitative surveys + qualitative interviews + control group comparison;Learn with M.E. software used to personalize basic math instruction;Traditional teaching without the software;In-class, across 7 elementary schools;"No standardized cognitive tests used; task accuracy logged in digital workbook";Likert-scale questionnaire on user motivation and experience;Student workbook logs, task performance database, teacher interviews;Descriptive statistics, frequency analysis, SPSS, user performance logs;Structured interviews, thematic content grouping, SWOT analysis;Convergent mixed-methods with control group comparison;"Increased motivation and improved perceived understanding of math; personalized learning paths noted";"No explicit effect size reported; software accuracy in error detection: 92%";"Absence of standardized testing; no longitudinal tracking; some interface limitations";Improved calculation skills and understanding of operations, supported by adaptive task generation;Software helped identify and correct errors, aiding problem-solving practice;Trophies, gamification, and error feedback boosted student interest (82.3% enjoyed math more);No data on anxiety, but students found software “motivating” and “fun”;Desktop app with personalized feedback, error recognition, trophy system, multilingual support;"Perceived as effective by students and teachers; high engagement reported";"Teacher training on interpretation of task logs; instructional support features like solution steps";Noted SES disparities in access/use preferences (e.g., Slovak vs. Hungarian vs. English language);Suggests personalized digital tools with real-time feedback can support inclusive and adaptive math education.
Lida Asencios-Trujillo, Lucia Asencios-Trujillo, Carlos La-Rosa-Longobardi, Djamila Gallegos-Espinoza;2024;Peru;Not explicitly stated for the main study, but survey involved 22 respondents (implied from percentages in Figs 13-21);"9 to 11 years old; Survey respondents aged 5-9 mostly";"Children with difficulties in math/reading; Initial evaluation identified students with phonological/verbal memory issues for reading";"Agile Scrum methodology used for development; Evaluation involved surveys and standardized tests comparing software users to traditional methods";Educational software with interactive games (Memorama, Sum game) and didactic exercises for basic math and reading comprehension ;Traditional teaching methods ;Primary education context in Peru ;Standardized tests (details not specified), Entrance tests (phonological knowledge, verbal memory for reading) ;Survey form;None specified;Surveys analyzed using percentages;None specified;None specified;"Notable improvement in performance for software users vs. traditional methods; Increased motivation and class participation observed";Not explicitly stated by authors, potential limitations mentioned in discussion include narrow age range initially targeted (6-8 planned, 9-11 studied) and lack of implemented inclusive learning methods ;"Software improved basic math skills (e.g., addition via Sum Game); Enhanced understanding through diverse resources and interactive exercises ";Software designed to enhance problem-solving through interactive methods ;"Software aims to inspire students and increase motivation/participation through interactive games and didactic exercises; Survey showed positive reception of games (Memorama rated good/excellent by ~91%)";"Software designed to address disinterest and distraction; Aims to make learning enjoyable";"Interactive educational software (web system) developed using Visual Studio Code, HTML5, CSS3, JavaScript, SQL Server; Includes login, course access, Memorama (memory game), Sum game (addition) ";"Software users showed notable improvement compared to traditional methods; Positive user feedback on usability (login rated good/excellent by ~91%)";"Software development involved educators; Principles included differentiated instruction and continuous assessment/feedback; Teachers can assign personalized exercises";"Survey data suggests mothers and siblings are primary helpers at home; Significant connectivity issues hindered remote learning programs like ""Aprendo en Casa"" during pandemic; Computer most used device (54.5%), followed by cell phone (27.3%)";"Project currently targets 9-11 years (study) but aims to expand; Inclusive learning methods not yet implemented; More mini-games planned";
Luca Cerniglia, Silvia Cimino, Massimo Ammaniti;2021;Italy;356;Ages 4–8;Children exceeding AAP screen time recommendations, no major developmental disorders;Longitudinal, 3-wave observational study;Daily use of smartphones and tablets for educational apps and short videos, assessed at age 4;No control group (all participants exceeded AAP limits);Home (T0), school settings for teacher assessments (T1, T2);Teacher Report Form (TRF) Mathematics and Literacy T-scores;Dysregulation Profile from TRF (Anxious/Depressed, Attention Problems, Aggression);StimQ-PIDA for parental scaffolding, SCL-90/R for maternal risk;Pearson correlation, MANOVA, Structural Equation Modeling (SEM);Content-based group comparisons, no thematic coding reported;Integrated model, longitudinal SEM design;"Higher screen time at age 4 predicted dysregulation at ages 6 and 8; lower academic performance at age 8 only, mediated by dysregulation";"Standardized regression weights β = -0.34 to -0.57 for key paths; effect size η² = 0.34 (math at T2)";"No control group; maternal scaffolding not tracked over time; no direct cognitive testing";Mathematics grades at age 8 were significantly lower in non-scaffolded group (M = 21.3 vs 28.1);No direct mention of computational thinking or structured problem-solving intervention;Children with higher parental scaffolding showed significantly better engagement and emotional regulation at age 6;"Dysregulation at age 8 predicted by earlier screen time; indirectly linked to anxiety, withdrawal, attention issues";Tablets and smartphones used for passive video watching and educational apps;"Tools less effective long-term without parental scaffolding; academic decline observed by age 8";"Scaffolding measured with PIDA subscale; higher PIDA scores correlated with better academic outcomes";Lower-income families and mothers with less education showed higher screen time exposure in children;"Findings support that dysregulation mediates academic decline due to early excessive screen time; parental engagement delays but does not prevent cognitive/emotional impact"
Buentello-Montoya, D.A., Lomelí-Plascencia, M.G., Medina-Herrera, L.M.;2021;Mexico, Taiwan, China, USA, Europe, Other (based on reviewed study origins );Varies across reviewed studies (Total 25 studies reviewed);Elementary, High school, Undergraduate ;"Varies across reviewed studies; some focused on low/high anxiety students, students with varying spatial visualization capabilities, or students with disabilities ";Systematic review of studies employing various designs (e.g., comparative, pre/post-test, surveys) ;Augmented Reality (AR) and Virtual Reality (VR) applications, AR books, virtual labs, visualization apps ;Traditional methods (e.g., traditional books), control groups without RETs, comparison between AR and VR ;Classroom, distance learning environments ;Pre/post tests (PPT), specific tests for spatial thinking/visualization skills ;Satisfaction surveys (SS), Likert scales, Motivation scales, Math Anxiety measures ;Cronbach's Alpha, Factor analysis ;Comparison of test scores between groups, analysis of survey ratings ;Analysis of student comments from surveys ;Not explicitly stated for reviewed studies, but review combines quantitative and qualitative findings;RETs generally accepted by students and show potential for improving performance and motivation, especially for abstract concepts and spatial skills. Effectiveness depends on adequate design.;"Performance improvement varied: e.g., 3-5% increase for low anxiety students, 25-31% for high anxiety students in specific areas; 36% higher pass rate in spatial skills for experimental group; 25% difference in geometry test scores; motivation/satisfaction increase around 13%.";"Hardware/software limitations; cost; potential for extraneous cognitive load; complicated usability/steep learning curve; need for adequate activity design; lack of teacher digital literacy/training; difficulty translating content effectively; lack of standardized measurement frameworks.";RETs used to teach Geometry (GM), Calculus, Algebra, Vectors, Arithmetic, Probability. AR improved geometry performance (high anxiety students +31%, low anxiety +5%). AR apps helped understand concepts like multiple integrals  and vector operations. VR impacted visualization of partial derivatives. Focus on improving spatial visualization.;RETs used to develop Spatial Thinking (ST). Apps transformed 2D graphs to 3D objects, visualized multivariable concepts, characterized parabolas, and allowed manipulation of vectors, improving spatial skills. No specific mention of problem-solving or computational thinking development.;Increased Motivation (MT) and Interactivity (IN) were common goals. Students found RETs compelling, interesting, and useful. Studies aimed to increase engagement and curiosity, using interactivity to promote active learning. Motivation/satisfaction ratings increased.;RETs used to ease learning (EL)  and reduce math anxiety. AR improved performance significantly for high anxiety students. Willingness to learn can increase by raising self-efficacy and reducing anxiety. Students reported better understanding with apps.;Marker-based AR apps, AR books, mobile/tablet AR, computer-based AR/VR, Head-Mounted Displays (HMD) for high immersion VR, Kinect-based interaction, virtual labs/platforms, specific software like GeoGebra AR, Second Life, OpenSimulator.;Students using RETs performed better than those using traditional books. AR shown to improve performance compared to control groups. AR particularly beneficial for high-anxiety students compared to low-anxiety ones. No statistical difference found between AR and VR user experience in one study.;Adequate design of lectures/activities is crucial for RET success. Previous preparation/lecturing for both teachers and students is important, especially if RETs are initially found complicated. Need for teacher training due to potential lack of digital literacy and resistance. Instructional design should promote conceptual understanding over rote learning.;Students' prior spatial visualization capabilities can affect outcomes. Student motivation and self-efficacy influence learning. Familiarity with technology can impact ease of use, though enthusiasm for training exists. Digital literacy levels of both students and teachers are factors. Geographic/economic factors mentioned as potential influences on research focus and resource availability (developing vs. developed countries).;Review covers 2015-June 2020. 76% reviewed studies used AR, 16% VR, 8% mixed. Most studies used low immersion AR via mobile/tablet. Increasing trend in publications observed. Research often focuses on user acceptance/satisfaction rather than detailed learning metrics. Need for standardized frameworks to measure impact beyond novelty. 
Chen, I.H., Gamble, J.H., Lee, Z.H., Fu, Q.L.;2020;China;178 second-grade students;Age ~7-8, Grade 2;Urban school, prior digital media experience;Longitudinal, quasi-experimental;Interactive whiteboard (EasiCare) FA system, 1 year;None;Urban primary school classroom;Mathematics achievement tests;Goal orientation measures (mastery-avoidance, performance-avoidance);None;Hierarchical linear modeling (HLM);None;None;"Significant correlation between IWB FA activities and math achievement; girls outperformed boys in FA over time; mastery-avoidance linked to better initial performance but greater decline";Not reported;Limited to gender and goal orientation, lack of raw data, homogeneous population, no teacher behavior analysis;Significant correlation between IWB FA performance and math achievement (t=6.52, p=0.00);Not specifically measured;Not directly measured, but IWB activities increased participation;Not measured;EasiCare IWB system with group competitions, FA quizzes, feedback interface;IWB FA system effective for math achievement, no direct comparison to traditional methods;Teacher training on EasiCare system ensured effective implementation;Homogeneous population, prior digital media experience noted;Study recommends longitudinal and mixed-methods approaches for future research
Chiang, F.K., Chang, C.H., Wang, S., Cai, R.H., Li, L.;2022;China;449 (182 second graders, 166 fourth graders, 101 sixth graders);Ages 7–12, Grades 2, 4, 6;Public school students, voluntary participation;Quasi-experimental, longitudinal;Interdisciplinary STEM course, 16 weekly sessions over two semesters;None;Public elementary school in Beijing;STEM knowledge assessment (11 close-ended questions);Attitude of learning questionnaire (15 Likert scale questions);Scenario design assessment (drawings with annotations);Independent t-tests, Kendall’s coefficient of concordance;None;None;"Positive changes in attitudes for fourth and sixth graders; improved engineering design skills for second and fourth graders";Not reported;Cognitive limitations of second graders, varying engagement by grade level;"Significant improvements in Science, Engineering, and Mathematics for second graders; Science, Technology, and Engineering for fourth graders";Significant improvements in problem analysis, practicability of solutions, and hands-on design capabilities for second and fourth graders;Increased critical thinking and peer collaboration for fourth and sixth graders;Not measured;None;Not applicable, no digital tools used;Problem-based instructional approach with trained instructors;Not explicitly reported, but voluntary participation noted;Free drawings challenging for second graders, need for structured guidance
Christopoulos, A., Kajasilta, H., Salakoski, T., Laakso, M.J.;2020;United Arab Emirates;135 (70 control, 65 treatment);Grade 3, ages ~8-9;Third-grade students from two Dubai schools;Randomized controlled trial;Eduten Playground digital learning path, 8 weeks, one weekly electronic lesson;Traditional classroom instruction;Elementary school classrooms;Mathematics performance test (36 points), arithmetic fluency test (160 points);None;None;Independent t-tests, Levene’s test for homogeneity;None;None;Treatment group showed significant improvement in mathematics performance (p=0.02) and fewer errors in arithmetic fluency (p<0.05);Not reported;Short intervention duration, small sample size for School 1;Significant improvement in mathematics performance test scores for treatment group (p=0.02);Problem-solving exercise improved analytical thinking via symbol-number deduction tasks;Gamified elements increased motivation and engagement;Not measured;Eduten Playground with gamified exercises, automated assessment, and immediate feedback;Digital tool significantly reduced errors in arithmetic fluency (p<0.05) compared to traditional methods;Teacher training and curriculum-aligned exercise design supported implementation;Not reported;Longer intervention needed for greater impact on arithmetic fluency
Carmen David, Cristina Costescu, Adrian Roșan;2025;Romania;33 (26 digital, 7 classic);Ages 8–15, Grades 2–8;Children with mild/moderate intellectual disabilities, some with ASD;Quasi-experimental;Digital multicomponent math intervention using apps, VRA framework, and strategy learning;Classic multicomponent math intervention using CSA and strategy learning;Special schools;Researcher-designed numeracy and procedural computation test;Teacher-rated cognitive engagement scale (Van Nieuwenhoven et al., 2019);Fluency tasks (addition, subtraction, multiplication);"Paired t-tests, Cohen’s d for digital group; Wilcoxon test for classic group";No qualitative methods used;None;"Digital intervention improved numeracy, computation, and problem-solving; no effect on engagement";Moderate to strong effects (e.g., d=0.92 for multiplication, d=1 for problem solving);Small sample, lack of control group, no standardized math tests, limited content scope;Significant gains in fluency (addition, subtraction, multiplication) and numeracy from digital intervention;Problem-solving skills improved with strong effect sizes using digital intervention;No observed improvement in engagement for either group;No anxiety or emotional impact outcomes were reported;Used digital apps including Touch Counts, Marbotic, Mathigon, and virtual manipulatives;Digital tools more effective than classic ones for most math outcomes (e.g., higher effect sizes);Initial teacher training and implementation journals supported fidelity;"No detailed SES analysis; heterogeneity in ability and comorbidities noted";"No control group; emphasis on VRA framework effectiveness; suggests potential of AI in special education"
Fernando Fraga-Varela, Esther Vila-Couñago, Esther Martínez-Piñeiro;2021;Spain;284 students;Grades 1–4 (Ages approx. 6–10);Primary school students from one publicly funded private school;Quasi-experimental, pretest-posttest, no control group;Reflex Math serious game with optional gamification strategy;"No control group; all groups used the game, some with gamification";School classrooms;Basic Math Operations Task (BMOT);None explicitly mentioned;System activity logs, pre/post scores, academic records;Wilcoxon test, Mann-Whitney U, Spearman correlation, SPSS;No qualitative methods used;None;"Significant gains in math fluency across all grades; stronger in gamified classrooms";"r=0.60 overall; r=0.62 (1st), r=0.61 (2nd), r=0.53 (3rd), r=0.61 (4th)";"Single school sample limits generalizability; no randomization; unclear teacher appropriation reasons";Large and significant improvement in fluency (sum, subtraction, multiplication, division) using Reflex Math;"Gamified use enhanced performance; correlation between activities and test score gains";Gamification increased engagement and frequency of tool use;Not measured explicitly;Reflex Math serious game with reward system, avatars, and virtual coaching;Effective in enhancing fluency and linked to academic performance;Gamified implementation and teacher experience influenced outcomes positively;"Urban school; all participants from same school, limiting socioeconomic diversity";Study reinforces motivational and cognitive benefits of game-based learning in authentic settings.
Andrea Guariso, Martina Björkman Nyqvist;2023;India;~5000 students from 200 schools;Grades 2–7, Ages 6–12;"Primary school children in rural Assam; low access to technology";"Longitudinal panel with cross-sectional comparison; quasi-experimental";"No specific digital intervention; natural experiment of school closure during COVID";Pre-pandemic comparison (grades/schools), no explicit control group;In-class and at-home testing across multiple years;Standardized mathematics test (ASER, IRT-modeled);Child and Adolescent Social and Personal Assessment of Wellbeing (CAPSAW);"Household and parent surveys; study logs; technology access data";Regression models, IRT score normalization, fixed effects, clustered SE;None (except open-ended survey data);None;"COVID caused 9 months learning loss in math and 11 in language; tech access mitigated loss";"Mathematics: –0.30σ; Language: –0.39σ compared to pre-pandemic cohorts";"No standard tests; non-random attrition in phone survey; uneven tech access";"Math learning declined 0.30σ—equivalent to 9 months of education lost; especially in low-SES students";Problem-solving not directly measured, but regular math practice and tech access reduced learning loss;Psychological wellbeing significantly improved across both personal and school domains;"Not measured; no anxiety scale used; only positive CAPSAW wellbeing change reported";Smartphone, internet, WhatsApp, radio/TV, educational materials, parental coaching;Tech and tuition mitigated loss: phone calls (+0.096σ math), internet (+0.122σ), tuition (+0.102σ language);"Weekly learning, teacher interaction, tech use showed positive gains; teacher contact critical";Children from low-education households and with younger siblings suffered greater losses;"Comprehensive five-year dataset; highlights regressive impact of crisis and resilience of wellbeing."
